Comp,Day,Venue,GF,GA,Team,Opponent,xGA,Poss,Attendance,Referee,SoT,xG.1,Saves,CS,CPA,CrdY,CrdR,Fls,Off.1,Crs.1,PKwon,PKcon,O_FK,O_CS,O_Cmp.4,O_Ast,O_Dead,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Off,O_CPA,O_CrdY,O_CrdR,O_Fls,FTR,weight
24,4,1,1,0,0,16,0.5,69.0,31882.0,18,2.0,0.8,2.0,1.0,4.0,2.0,0.0,10.0,2.0,27.0,0.0,0.0,0.0,0.0,191.0,0.0,48.0,1.0,2.0,11.0,21.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,8.0,0.0,0.14547628537265844
24,4,0,4,0,1,17,0.5,55.0,74928.0,8,5.0,2.1,1.0,1.0,12.0,2.0,0.0,19.0,1.0,20.0,0.0,0.0,0.0,0.0,331.0,0.0,52.0,1.0,1.0,14.0,13.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,0.13120057512580877
24,0,1,4,0,1,19,0.4,58.0,20862.0,3,8.0,3.0,0.0,1.0,4.0,1.0,0.0,11.0,0.0,20.0,0.0,0.0,0.0,0.0,343.0,0.0,50.0,2.0,7.0,22.0,23.0,3.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,12.0,1.0,0.13148414985590778
24,0,0,2,0,1,14,0.9,69.0,75021.0,0,6.0,2.8,4.0,1.0,7.0,1.0,0.0,8.0,2.0,38.0,0.0,0.0,0.0,0.0,223.0,0.0,40.0,0.0,1.0,10.0,14.0,3.0,2.0,0.0,0.0,3.0,5.0,2.0,0.0,7.0,1.0,0.1318165402672445
24,0,1,2,2,1,9,1.2,63.0,29320.0,6,8.0,2.1,3.0,0.0,9.0,0.0,0.0,10.0,4.0,30.0,0.0,0.0,0.0,0.0,271.0,2.0,42.0,3.0,3.0,14.0,13.0,5.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,2.0,0.132486388384755
4,3,0,3,0,1,22,0.6,60.0,73854.0,22,8.0,3.4,2.0,1.0,2.0,2.0,0.0,12.0,2.0,18.0,0.0,0.0,0.0,0.0,322.0,0.0,46.0,1.0,1.0,17.0,16.0,3.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,14.0,0.0,0.13263081395348836
24,4,0,4,0,1,1,1.1,49.0,75042.0,18,6.0,2.9,3.0,1.0,8.0,1.0,0.0,15.0,2.0,28.0,0.0,0.0,0.0,0.0,436.0,0.0,51.0,0.0,6.0,7.0,19.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,2.0,0.13287222424463052
24,0,1,1,0,1,16,1.0,40.0,31930.0,9,4.0,1.2,3.0,1.0,2.0,4.0,0.0,9.0,2.0,9.0,0.0,0.0,0.0,0.0,486.0,0.0,44.0,1.0,1.0,31.0,21.0,8.0,5.0,2.0,1.0,3.0,2.0,1.0,0.0,12.0,0.0,0.1331630791681868
4,5,1,4,1,1,24,0.6,62.0,29073.0,20,9.0,4.3,6.0,0.0,7.0,0.0,0.0,5.0,1.0,15.0,1.0,0.0,0.0,0.0,330.0,1.0,21.0,0.0,2.0,5.0,6.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,10.0,2.0,0.133406432748538
24,0,0,4,0,1,6,0.4,59.0,75118.0,2,7.0,2.8,1.0,1.0,5.0,0.0,0.0,6.0,2.0,19.0,0.0,0.0,0.0,0.0,320.0,0.0,43.0,0.0,2.0,21.0,17.0,5.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,9.0,1.0,0.13350402340892464
24,0,1,0,0,1,3,1.5,38.0,52912.0,8,1.0,0.2,5.0,1.0,3.0,2.0,0.0,13.0,1.0,14.0,0.0,0.0,0.0,1.0,533.0,0.0,59.0,0.0,1.0,26.0,32.0,7.0,1.0,6.0,0.0,3.0,13.0,0.0,0.0,7.0,0.0,0.13419117647058823
4,2,1,1,0,1,25,0.5,64.0,57684.0,23,4.0,0.6,0.0,1.0,8.0,2.0,0.0,12.0,7.0,20.0,0.0,0.0,0.0,0.0,272.0,0.0,54.0,0.0,3.0,27.0,19.0,6.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,10.0,0.0,0.13438880706921943
24,0,1,1,2,1,15,1.2,77.0,24426.0,19,3.0,0.8,1.0,0.0,6.0,2.0,0.0,12.0,3.0,30.0,0.0,0.0,0.0,0.0,129.0,1.0,44.0,1.0,0.0,9.0,13.0,4.0,1.0,2.0,0.0,2.0,4.0,4.0,0.0,10.0,1.0,0.13453741245853298
24,0,0,1,0,1,20,1.2,45.0,75034.0,3,3.0,0.8,4.0,1.0,5.0,1.0,0.0,12.0,2.0,24.0,0.0,0.0,0.0,0.0,415.0,0.0,55.0,2.0,4.0,17.0,29.0,3.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,14.0,1.0,0.13488543976348855
